BookID,author,bookName,number,PreferentialPrice,press,price
10162330,罗广斌,红岩, 01 ,16.40,中国青年出版社,26.00
10054498,黄仁宇,万历十五年（增订本）, 02 ,10.80,中华书局,18.00
11757204,沈复,浮生六记（汪涵推荐，全译本）, 03 ,20.30,天津人民出版社,32.00
10199768,刘慈欣,中国科幻基石丛书·三体（2）黑暗森林, 04 ,21.20,重庆出版社,32.00
12026957,周梅森,人民的名义, 05 ,35.20,北京十月文艺出版社,46.90
11555281,西蒙·蒙蒂菲奥里,耶路撒冷三千年, 06 ,55.60,民主与建设出版社,78.00
12019565,东野圭吾,东野圭吾：拉普拉斯的魔女, 07 ,24.40,北京联合出版公司,39.80
10367073,刘慈欣,中国科幻基石丛书·三体（3）：死神永生, 08 ,25.20,重庆出版社,38.00
10019917,刘慈欣,中国科幻基石丛书·三体（1）（获2015科幻文坛“雨果奖”）, 09 ,15.20,重庆出版社,23.00
11452840,东野圭吾,解忧杂货店, 10 ,27.30,南海出版公司,39.50
11687858,克莱儿·麦克福尔,摆渡人　【荐书联盟推荐】, 11 ,23.40,百花洲文艺出版社,36.00
11293862,蕾秋·乔伊斯,一个人的朝圣, 12 ,23.40,北京联合出版公司,32.80
11153952,东野圭吾,白夜行, 13 ,27.30,南海出版公司,39.50
11289555,玛格丽特·怀兹·布朗,信谊绘本世界精选图画书：逃家小兔, 14 ,24.10,明天出版社,26.80
12092518,余光中,孤独是生命的礼物, 15 ,24.80,长江文艺出版社,36.00
12062229,剑圣喵大师,优秀的人，从来不会输给情绪, 16 ,23.00,古吴轩出版社,36.80
11612350,北猫,米小圈上学记（第一二三辑）（套装共12册）, 17 ,103.20,四川少年儿童出版社,198.00
12053153,册会计师协会,注册会计师2017教材 2017年注册会计师全国统一考试辅导教材(新大纲）:会计 ..., 18 ,44.80,中国财政经济出版社,56.00
10054459,黄仁宇,万历十五年（增订纪念本）, 19 ,28.40,中华书局,36.00
11941728,贾平凹,自在独行：贾平凹的独行世界（陈坤推荐）, 20 ,26.90,长江文艺出版社,39.00
